month,iss_mean_z,iss_max_z,sarima_resid_z,rho_norm,iss_mean_norm,sarima_norm,MeanPopulation_SD,SD,CV,CVPenalty,AMPI_final,AMPI_rank,AMPI_percentile
2024-01-01,0.1659127198607815,1.3301431532875054,0.0414502574810503,78.05037673377981,83.49510196105774,103.36988525308723,88.30512131597493,13.327475100739402,0.1509252793283732,2.0114529023210337,86.29366841365389,17,30.434782608695656
2024-02-01,1.3344905117792942,2.376911716139325,1.006267381601004,96.57844943341796,103.44538467892252,115.7360651320666,105.25329974813567,9.705924865121988,0.0922149223667821,0.895031107935045,104.35826864020063,1,100.0
2024-03-01,0.628052679658225,1.8239019093496849,1.0471073628417895,102.59015605332462,91.38488295547918,116.2595162003075,103.4115184030371,12.45764110288635,0.1204666684646657,1.5007305205932029,101.9107878824439,3,91.30434782608695
2024-04-01,2.889913769483956,3.3793716702571435,-0.710446205921452,95.25012925171504,130.0,93.73273569970952,106.32762165047484,20.51491514338329,0.1929406002404614,3.958160041646504,102.36946160882832,2,95.65217391304348
2024-05-01,0.3973657815375411,1.7384978858078035,0.1505547290256402,94.57015358248408,87.44653253615525,104.76829069904367,95.594992272561,8.706236110909641,0.0910741860419463,0.792913367290096,94.8020789052709,6,78.26086956521739
2024-06-01,-0.3416979495442624,0.2774163784572369,-0.3616144470425739,95.02480121915784,74.82903245736705,98.20375530534896,89.35252966062461,12.677752779191604,0.1418846542716111,1.7987785700165588,87.55375109060805,15,39.130434782608695
2024-07-01,-0.2602464127610347,0.8155063820550502,-0.5524366586933399,78.62384269589046,76.21959558278992,95.75796352244456,83.53380060037499,10.654469503649093,0.1275468065270965,1.3589435604307811,82.1748570399442,20,17.391304347826086
2024-08-01,0.5818138011416363,0.8411450349370712,-0.6468529368642715,79.69125001929282,90.59548005449776,94.5478184595338,88.27818284444147,7.694595910422597,0.0871630527780748,0.670684469446124,87.60749837499534,14,43.47826086956522
2024-09-01,-0.4333032220211545,-0.0128806632016219,-0.2272611194785853,94.79401882554735,73.26512195264948,99.92577844782912,89.32830640867532,14.145782422915069,0.1583572217097499,2.2400868034034445,87.08821960527187,16,34.78260869565217
2024-10-01,-0.5942325865919735,-0.543342220692059,2.1191485423632934,130.0,70.51769140673504,130.0,110.172563802245,34.342126878341915,0.3117121513118688,10.70485824987311,99.4677055523719,4,86.95652173913044
2024-11-01,0.2895596289046422,1.151723454807862,-2.311901489657578,70.0,85.606036132214,73.20668613888031,76.2709074236981,8.241916039474075,0.1080610722734529,0.8906302848133387,75.38027713888476,24,0.0
2024-12-01,0.439062644990876,2.2985928500742485,0.3280762347633857,86.55890693376378,88.15839290188796,107.04360569652845,93.92030184406006,11.3932180196692,0.1213072977404379,1.382080490533735,92.53822135352632,9,65.21739130434783
2025-01-01,0.4282089934989644,1.6357685314013708,0.2435787879855377,81.88934716060456,87.97309636683288,105.9605915169009,91.94101168144611,12.516567627472352,0.136136936048075,1.7039671666426108,90.2370445148035,10,60.86956521739131
2025-02-01,-0.4593856349213235,0.3224825673462013,-2.5620891570494235,102.27222586131968,72.81983579804255,70.0,81.69735388645408,17.8740562287513,0.2187837840328746,3.910553657742582,77.7868002287115,22,8.695652173913043
2025-03-01,-0.0592082763793073,1.9300337698545271,1.4973640420672596,107.11383580615676,79.65177415543201,122.03051149860592,102.93204048673157,21.496625404249052,0.2088428957844285,4.489417499016483,98.44262298771508,5,82.6086956521739
2025-04-01,-0.1414303897069478,1.194370673721636,-0.4810802274327951,94.18475941485885,78.24805553448022,96.6725476881172,89.70178754581876,9.996912291493372,0.1114460766613714,1.1141166536147769,88.58767089220399,12,52.17391304347826
2025-05-01,-0.2043794769240484,1.9809643422695224,-0.1723564251634993,85.752115307316,77.1733713367334,100.62949867534896,87.85166177313279,11.868173783397763,0.1350933328278526,1.6033111509793492,86.24835062215344,18,26.08695652173913
2025-06-01,-0.3065915067866392,0.8753098256539751,-0.7404147345437647,85.1093396966466,75.42837934131157,93.3486253782951,84.62878147208443,8.969782977413765,0.1059897451125717,0.95070501149117,83.67807646059326,19,21.73913043478261
2025-07-01,0.029792991681721,0.8753098256539751,1.165374008432486,91.15908439688688,81.17122837777427,117.7753543591628,96.70188904460798,18.92108670868139,0.1956640857341805,3.702177131951299,92.99971191265668,8,69.56521739130434
2025-08-01,-0.4134716406188987,0.5401291435880188,0.4015896582709067,99.35264650797312,73.60369218601649,107.9858362974237,93.64739166380444,17.88701786358129,0.1910039088733614,3.416490330031668,90.23090133377278,11,56.52173913043478
2025-09-01,-0.4727911024116807,0.6548844032241821,-1.47028706474651,90.37568287401304,72.59097395568398,83.99376185199762,82.32013956056488,9.009701799072417,0.1094471152158794,0.986085870863795,81.3340536897011,21,13.043478260869565
2025-10-01,-0.5004043176615381,0.2134865455444472,-2.213686571449148,89.1495796898287,72.11955352069566,74.46551883888294,78.57821734980243,9.229905991483802,0.1174613818279374,1.0841575119016464,77.49405983790078,23,4.3478260869565215
2025-11-01,-0.6245561007763563,-0.1981545560408834,1.2565454493390915,95.748654047855,70.0,118.9439099433158,94.89752133039026,24.483053329025488,0.2579946555588798,6.316496910651618,88.58102441973864,13,47.82608695652174
2025-12-01,0.1011103658437106,0.911510957788064,0.3468256749085462,97.39009168704334,82.38877828079916,107.28391957951088,95.68759651578443,12.534587445417785,0.1309949032249974,1.6419670693777708,94.04562944640668,7,73.91304347826086
