metric,value
observations,24
minimum,75.38027713888476
maximum,104.35826845877767
mean,89.63378091924493
median,88.58434758804387
highest_month,2024-02
highest_AMPI,104.35826845877767
lowest_month,2024-11
lowest_AMPI,75.38027713888476
