month,iss_mean_z,iss_max_z,sarima_resid_z,rho_peak_baseline,iss_mean_norm,sarima_norm,rho_norm
2024-01-01,0.1659127198607815,1.3301431532875054,0.053174053518445,0.5198687182047066,83.49510196105774,103.23298728324349,70.0
2024-02-01,1.3344905117792942,2.376911716139325,0.5564382506839728,0.5511518254819546,103.44538467892251,112.66476265833981,74.67140042231247
2024-03-01,0.628052679658225,1.8239019093496849,0.6064077923524827,0.5725661002498771,91.38488295547918,113.60125187268955,77.86912152168495
2024-04-01,2.889913769483956,3.3793716702571435,-0.6867005322018014,0.5856642456199511,130.0,89.3668491046109,79.82502319318465
2024-05-01,0.3973657815375411,1.7384978858078035,-0.1704007900962176,0.5979498640276217,87.44653253615525,99.0429262449809,81.65959296623602
2024-06-01,-0.3416979495442624,0.2774163784572369,-0.3005317732902231,0.6112474560960589,74.82903245736705,96.60411535849417,83.6452773374754
2024-07-01,-0.2602464127610347,0.8155063820550502,-0.4209803464312393,0.6149781672962883,76.21959558278992,94.34676446304935,84.20237180132851
2024-08-01,0.5818138011416363,0.8411450349370712,-0.4347188607345638,0.6374505346982087,90.59548005449776,94.08928820778162,87.55809428891021
2024-09-01,-0.4333032220211545,-0.0128806632016219,-0.2584803130144824,0.6621633935799635,73.26512195264948,97.39221021950237,91.24838177837387
2024-10-01,-0.5942325865919735,-0.543342220692059,1.481418326700193,0.7065469937247921,70.51769140673504,130.0,97.87603441603538
2024-11-01,0.2895596289046422,1.151723454807862,-1.6288651999146513,0.6815448270761624,85.606036132214,71.70955187927883,94.14254557792114
2024-12-01,0.439062644990876,2.2985928500742485,-0.0023915247684899,0.7127259362233219,88.15839290188796,102.19162162293739,98.79871496503792
2025-01-01,0.4282089934989644,1.6357685314013708,0.1316468416004038,0.7240575476076572,87.97309636683288,104.70366156211165,100.49082610147747
2025-02-01,-0.4593856349213235,0.3224825673462013,-1.7200841083197185,0.7596662689830215,72.81983579804255,70.0,105.80815582184908
2025-03-01,-0.0592082763793073,1.9300337698545271,0.9545665047560442,0.779674420341081,79.65177415543201,120.12616421250596,108.79590527638324
2025-04-01,-0.1414303897069478,1.194370673721636,-0.2848519773139808,0.7876987524690672,78.24805553448022,96.89797356340561,109.99415160655877
2025-05-01,-0.2043794769240484,1.9809643422695224,-0.245585052919397,0.7956905085396629,77.1733713367334,97.63388287832711,111.18753346445213
2025-06-01,-0.3065915067866392,0.8753098256539751,-0.6288049780265826,0.8097795965587358,75.42837934131157,90.45188131090111,113.2914092444058
2025-07-01,0.029792991681721,0.8753098256539751,0.636877323413033,0.8293666823928272,81.17122837777427,114.17228747261146,116.2162824108189
2025-08-01,-0.4134716406188987,0.5401291435880188,0.1416791792526129,0.8523869069412664,73.60369218601649,104.89167961655639,119.65381454994619
2025-09-01,-0.4727911024116807,0.6548844032241821,-1.1338855055615853,0.8642969492522256,72.59097395568398,80.98606572362931,121.43230081693024
2025-10-01,-0.5004043176615381,0.2134865455444472,-1.6121008795729754,0.8818932318440987,72.11955352069566,72.02373537309657,124.05989408003902
2025-11-01,-0.6245561007763563,-0.1981545560408834,0.6620096115615356,0.9009912366003452,70.0,114.64329673139429,126.91173442610784
2025-12-01,0.1011103658437106,0.911510957788064,0.2982621833189162,0.9216725172688252,82.38877828079916,107.82623313780641,130.0
