month,iss_mean_z,iss_max_z,sarima_resid_z,rho_peak_baseline,iss_mean_norm,sarima_norm,rho_norm,Mean,Population_SD,CV,Penalty,AMPI_final
2025-01-01,1.0474476218066118,2.130233446806837,0.1316468416004038,0.7240575476076572,130.0,111.53957771233584,70.0,103.84652590411194,25.091662421250778,0.24162255022781884,6.0627114636781405,109.90923736779008
2025-02-01,-0.3895075797543036,0.2512594538148029,-1.7200841083197185,0.7596662689830215,71.7927821496962,70.0,80.81154573555412,74.20144262841677,4.73100512747608,0.06375893729139245,0.3016438592480035,74.50308648766477
2025-03-01,-0.0714643156213741,1.7337325273149182,0.9545665047560442,0.779674420341081,84.67586545048229,130.0,86.88643512041166,100.52076685696466,20.864492079327473,0.20756399629358638,4.33071735662109,104.85148421358575
2025-05-01,-0.0981798703732596,1.9095718489925035,-0.245585052919397,0.7956905085396629,83.59368967092735,103.07719628556706,91.74925140180265,92.80671245276568,7.989177070946468,0.08608404348998559,0.6877406664245515,93.49445311919023
2025-06-01,-0.3945617745955595,0.8040302522073698,-0.6288049780265826,0.8097795965587358,71.58805021382005,94.48048634744558,96.02699049512034,87.365175685462,11.173963333888993,0.12789951197623925,1.4291444572447936,88.7943201427068
2025-07-01,0.3933805434608069,1.4129099392086166,0.636877323413033,0.8293666823928272,103.50548933144867,122.87333052496874,101.97403566108392,109.4509518391671,9.511625335168006,0.08690308467252876,0.8265895818754749,110.27754142104259
2025-08-01,-0.147893877317616,1.8040713896983287,0.1416791792526129,0.8523869069412664,81.57990801003888,111.76463150298416,108.96345288627992,100.76933079976766,13.617075326292643,0.1351311477234107,1.840091017478062,102.60942181724572
2025-09-01,-0.356295145427589,0.5474944823099743,-1.1338855055615853,0.8642969492522256,73.13812917101879,83.15009743461087,112.57958854585476,89.62260505049481,16.73971715277702,0.18678007789826678,3.126645673790644,92.74925072428546
2025-11-01,-0.4337657960101776,0.192640666595319,0.6620096115615356,0.9009912366003452,70.0,123.43711903683575,123.720734607118,105.7192845479846,25.25761371564153,0.23891207572614084,6.034348920692962,111.75363346867756
2025-12-01,0.547055663410321,1.8407885919108256,0.2982621833189162,0.9216725172688252,109.7304580537556,115.27723243786824,130.0,118.33589683054129,8.552978178307047,0.0722771230656665,0.6181846563714585,118.95408148691274
