month,iss_mean_z,iss_max_z,sarima_resid_z,rho_norm,iss_mean_norm,sarima_norm,Mean,SD,CV,CVPenalty,AMPI
2024-01-01,0.1659127198607815,1.3301431532875054,0.0414502574810503,78.050377,83.49510196105774,103.36988525308723,88.305121404715,13.327474998318651,0.15092527801685396,2.011452869383913,86.29366853533108
2024-02-01,1.3344905117792942,2.376911716139325,1.006267381601004,96.578449,103.44538467892251,115.7360651320666,105.25329960366304,9.705925058809655,0.09221492433356329,0.8950311448853682,104.35826845877767
2024-03-01,0.628052679658225,1.823901909349685,1.0471073628417895,102.590156,91.38488295547918,116.2595162003075,103.41151838526223,12.45764110464426,0.12046666850237131,1.5007305212746949,101.91078786398754
2024-04-01,2.889913769483956,3.379371670257144,-0.710446205921452,95.250129,130.0,93.73273569970952,106.32762156656985,20.514915211342906,0.19294060103186716,3.9581600709942952,102.36946149557555
2024-05-01,0.3973657815375411,1.7384978858078035,0.1505547290256402,94.570154,87.44653253615525,104.76829069904369,95.59499241173297,8.706236086336084,0.09107418565229691,0.7929133616596993,94.80207905007327
2024-06-01,-0.3416979495442624,0.2774163784572369,-0.3616144470425739,95.024801,74.82903245736705,98.20375530534895,89.35252958757201,12.67775273016388,0.14188465383891294,1.7987785575746356,87.55375102999737
2024-07-01,-0.2602464127610347,0.8155063820550502,-0.5524366586933399,78.623843,76.21959558278992,95.75796352244456,83.53380070174482,10.654469433576857,0.12754680553346726,1.3589435409066983,82.17485716083813
2024-08-01,0.5818138011416363,0.8411450349370713,-0.6468529368642715,79.69125,90.59548005449776,94.54781845953381,88.27818283801052,7.694595921187698,0.0871630529063698,0.6706844713716206,87.60749836663891
2024-09-01,-0.4333032220211545,-0.0128806632016219,-0.2272611194785853,94.794019,73.26512195264948,99.92577844782912,89.32830646682619,14.145782456617978,0.15835722198395522,2.2400868126193925,87.0882196542068
2024-10-01,-0.5942325865919735,-0.543342220692059,2.1191485423632934,130.0,70.51769140673504,130.0,110.17256380224501,34.342126878341915,0.3117121513118688,10.70485824987311,99.4677055523719
2024-11-01,0.2895596289046422,1.151723454807862,-2.311901489657578,70.0,85.606036132214,73.20668613888031,76.2709074236981,8.241916039474075,0.1080610722734529,0.8906302848133387,75.38027713888476
2024-12-01,0.439062644990876,2.2985928500742485,0.3280762347633857,86.558907,88.15839290188796,107.04360569652843,93.9203018661388,11.393217998270899,0.12130729748408645,1.3820804850172959,92.5382213811215
2025-01-01,0.4282089934989644,1.6357685314013708,0.2435787879855377,81.889347,87.97309636683288,105.9605915169009,91.94101162791127,12.516567691960605,0.13613693682875305,1.7039671851932525,90.23704444271802
2025-02-01,-0.4593856349213235,0.3224825673462013,-2.5620891570494235,102.272226,72.81983579804255,70.0,81.69735393268085,17.87405630856894,0.21878378488607203,3.9105536904554854,77.78680024222537
2025-03-01,-0.0592082763793073,1.9300337698545271,1.4973640420672596,107.113836,79.65177415543201,122.03051149860593,102.93204055134599,21.496625423103474,0.2088428958365032,4.489417504073526,98.44262304727246
2025-04-01,-0.1414303897069478,1.194370673721636,-0.4810802274327951,94.184759,78.24805553448022,96.67254768811719,89.70178740753248,9.996912198474627,0.1114460757962016,1.1141166345991755,88.58767077293331
2025-05-01,-0.2043794769240484,1.9809643422695224,-0.1723564251634993,85.752115,77.1733713367334,100.62949867534897,87.85166167069413,11.868173810580728,0.13509333329479592,1.6033111601933505,86.24835051050077
2025-06-01,-0.3065915067866392,0.8753098256539751,-0.7404147345437647,85.10934,75.42837934131157,93.3486253782951,84.62878157320223,8.96978298553988,0.10598974508195175,0.9507050120778,83.67807656112443
2025-07-01,0.029792991681720997,0.8753098256539751,1.165374008432486,91.159084,81.17122837777427,117.77535435916279,96.70188891231236,18.921086766814057,0.19566408660301743,3.702177159765112,92.99971175254724
2025-08-01,-0.41347164061889863,0.5401291435880188,0.4015896582709067,99.352647,73.60369218601649,107.9858362974237,93.6473918278134,17.887017942049898,0.19100390937676312,3.4164903540238343,90.23090147378956
2025-09-01,-0.4727911024116807,0.6548844032241821,-1.47028706474651,90.375683,72.59097395568398,83.99376185199762,82.32013960256053,9.009701855394669,0.10944711584423049,0.9860858826893586,81.33405371987118
2025-10-01,-0.5004043176615381,0.21348654554444718,-2.213686571449148,89.14958,72.11955352069566,74.46551883888294,78.57821745319286,9.229906169109295,0.1174613839338787,1.0841575522034224,77.49405990098944
2025-11-01,-0.6245561007763563,-0.1981545560408834,1.2565454493390915,95.748654,70.0,118.9439099433158,94.8975213144386,24.48305332819367,0.2579946555934816,6.316496911284169,88.58102440315443
2025-12-01,0.10111036584371061,0.911510957788064,0.3468256749085462,97.390092,82.38877828079916,107.28391957951087,95.68759662010335,12.534587466671265,0.1309949033042996,1.641967073155888,94.04562954694747
