month,iss_mean_norm,sarima_norm,rho_norm,MeanPopulation_SD,SD,CV,CVPenalty,AMPI_final,dominant_component
2024-01-01,83.49510196105774,103.23298728324347,70.0,85.57602974810042,13.64686914724938,0.1594706974303433,2.176275740652493,83.39975400744792,sarima_norm
2024-02-01,103.44538467892252,112.6647626583398,74.67140042231247,96.92718258652492,16.18104060080808,0.1669401727050468,2.701265712446275,94.22591687407864,sarima_norm
2024-03-01,91.38488295547918,113.60125187268956,77.86912152168495,94.28508544995124,14.731025439233171,0.1562391906305558,2.3015634917839187,91.9835219581673,sarima_norm
2024-04-01,130.0,89.3668491046109,79.82502319318465,99.7306240992652,21.75527443320325,0.2181403618967581,4.745703438022246,94.98492066124294,iss_mean_norm
2024-05-01,87.44653253615525,99.0429262449809,81.65959296623602,89.38301724912405,7.227611350584704,0.0808611252229296,0.5844327864822976,88.79858446264176,sarima_norm
2024-06-01,74.82903245736705,96.60411535849416,83.6452773374754,85.02614171777888,8.943103438416772,0.1051806333645123,0.9406412838970246,84.08550043388186,sarima_norm
2024-07-01,76.21959558278992,94.34676446304935,84.20237180132851,84.92291061572259,7.417903793779293,0.0873486758755292,0.647944074158686,84.2749665415639,sarima_norm
2024-08-01,90.59548005449776,94.08928820778162,87.55809428891021,90.74762085039652,2.668518142816128,0.0294059295197981,0.0784702564299538,90.66915059396656,sarima_norm
2024-09-01,73.26512195264948,97.39221021950236,91.24838177837388,87.30190465017525,10.237516246683851,0.1172656689187514,1.2005091907339671,86.10139545944128,sarima_norm
2024-10-01,70.51769140673504,130.0,97.87603441603538,99.4645752742568,24.30951604399369,0.2444037585940953,5.941337090755522,93.52323818350128,sarima_norm
2024-11-01,85.606036132214,71.70955187927883,94.14254557792114,83.81937786313799,9.24495943379146,0.1102962067898764,1.0196839574734822,82.79969390566451,rho_norm
2024-12-01,88.15839290188796,102.1916216229374,98.79871496503792,96.38290982995444,5.978292003704929,0.0620264735133257,0.3708123706227307,96.0120974593317,sarima_norm
2025-01-01,87.97309636683288,104.70366156211163,100.49082610147748,97.72252801014066,7.105188652444662,0.0727077859846949,0.5166025359228295,97.20592547421784,sarima_norm
2025-02-01,72.81983579804255,70.0,105.80815582184908,82.87599720663054,16.256297088556934,0.1961520541107448,3.1887060661549635,79.68729114047558,rho_norm
2025-03-01,79.65177415543201,120.12616421250596,108.79590527638324,102.8579478814404,17.048725585629736,0.1657502014844882,2.8258297008718785,100.03211818056852,sarima_norm
2025-04-01,78.24805553448022,96.8979735634056,109.99415160655876,95.04672690148152,13.02622968237226,0.1370507970871453,1.7852551610093494,93.2614717404722,rho_norm
2025-05-01,77.1733713367334,97.63388287832711,111.18753346445212,95.33159589317088,13.981325648502212,0.1466599349094057,2.050500309556539,93.28109558361432,rho_norm
2025-06-01,75.42837934131157,90.45188131090111,113.2914092444058,93.05722329887284,15.566911779291534,0.1672832180828685,2.6040830980520004,90.45314020082084,rho_norm
2025-07-01,81.17122837777427,114.17228747261146,116.2162824108189,103.8532660870682,16.060315580362023,0.1546442994570572,2.4836362519843465,101.36962983508386,rho_norm
2025-08-01,73.60369218601649,104.8916796165564,119.6538145499462,99.38306211750636,19.19916825449052,0.1931835047685512,3.708962612043588,95.67409950546278,rho_norm
2025-09-01,72.59097395568398,80.98606572362931,121.43230081693024,91.66978016541452,21.322525149037126,0.2326014648509189,4.959650583986593,86.71012958142792,rho_norm
2025-10-01,72.11955352069566,72.02373537309657,124.05989408003902,89.40106099127708,24.50752712379534,0.2741301596654044,6.718252323450245,82.68280866782683,rho_norm
2025-11-01,70.0,114.64329673139429,126.91173442610784,103.8516770525007,24.455138114751666,0.2354813981712469,5.758730115732674,98.09294693676804,rho_norm
2025-12-01,82.38877828079916,107.8262331378064,130.0,106.7383371395352,19.452416245392524,0.1822439506431797,3.545085186115902,103.19325195341928,rho_norm
