month,rho_floor,rho_sens_low,rho_sens_high,rho_peak_baseline,AMPI_final,AMPI_rho_floor,AMPI_rho_sens_low,AMPI_rho_sens_high
2025-01-01,0.919206162683482,0.7660051355695684,0.5106700903797122,0.7240575476076572,109.90923736779008,109.90923736779008,109.90923736779008,109.90923736779008
2025-02-01,0.9644121773734224,0.803676814477852,0.5357845429852346,0.7596662689830215,74.50308648766477,74.50308648766479,74.50308648766477,74.50308648766477
2025-03-01,0.9898129429520692,0.8248441191267245,0.5498960794178164,0.779674420341081,104.85148421358575,104.85148421358574,104.85148421358574,104.85148421358575
2025-05-01,1.01014570106344,0.8417880842195333,0.5611920561463556,0.7956905085396629,93.49445311919023,93.49445311919024,93.49445311919023,93.49445311919024
2025-06-01,1.0280320922439643,0.8566934102033037,0.5711289401355358,0.8097795965587358,88.7943201427068,88.79432014270677,88.79432014270677,88.7943201427068
2025-07-01,1.0528983063552535,0.8774152552960449,0.5849435035306966,0.8293666823928272,110.27754142104259,110.27754142104256,110.27754142104259,110.27754142104259
2025-08-01,1.0821229616899,0.9017691347415834,0.6011794231610555,0.8523869069412664,102.60942181724572,102.60942181724572,102.60942181724572,102.60942181724572
2025-09-01,1.0972430088825949,0.914369174068829,0.6095794493792194,0.8642969492522256,92.74925072428546,92.74925072428546,92.74925072428542,92.74925072428546
2025-11-01,1.1438271722230853,0.9531893101859044,0.6354595401239364,0.9009912366003452,111.75363346867756,111.75363346867753,111.75363346867752,111.75363346867756
2025-12-01,1.170082489504792,0.9750687412539936,0.6500458275026623,0.9216725172688252,118.95408148691274,118.95408148691274,118.95408148691274,118.95408148691274
