month,actual_volume,forecast_volume,abs_error_pct,days_in_month,seconds_in_month,actual_lambda,forecast_lambda,actual_rho,forecast_rho,rho_abs_error
2025-07-01,19467.95,18986.040662359595,2.475398476164184,31,2678400,7268.499850657109,7088.575516113947,1.0241881691232149,0.9988354307916849,0.025352738331529956
2025-08-01,20008.31,19499.454809061925,2.5432192470932162,31,2678400,7470.247162485066,7280.262398843311,1.052615934710625,1.0258456036610941,0.02677033104953086
2025-09-01,19633.43,19592.82996839979,0.2067903142762628,30,2592000,7574.625771604939,7558.962179166586,1.0673236926753507,1.0651165706569223,0.0022071220184283202
2025-10-01,20700.92,21206.959367894775,2.4445259819118026,31,2678400,7728.838112305854,7917.771568061072,1.0890534110661954,1.1156756046566052,0.02662219359040985
2025-11-01,20466.98,20005.36871415258,2.255395206559145,30,2592000,7896.211419753086,7718.120645892199,1.1126376120480501,1.0875432366795441,0.025094375368506006
2025-12-01,21634.67,21300.61515302116,1.5440718392230495,31,2678400,8077.460424133811,7952.738632400374,1.1381770066640269,1.1206027360236157,0.01757427064041117
2026-01-01,21703.44,21576.15078426389,0.5864932735829405,31,2678400,8103.136200716845,8055.611851950377,1.1417949233111624,1.135098372887831,0.006696550423331393
2026-02-01,20394.18,20595.503052401647,0.9871593386036955,28,2419200,8430.13392857143,8513.35278290412,1.1878714468139537,1.1995976307317844,0.011726183917830646
2026-03-01,22641.11,22881.944381227662,1.0637039492660105,31,2678400,8453.22207287933,8543.139329908774,1.1911247459448637,1.2037947869081638,0.012670040963300044
2026-04-01,22346.8,22448.008461697056,0.4528991251412145,30,2592000,8621.45061728395,8660.497091704112,1.2148294564667266,1.2203314084470223,0.005501951980295683
2026-05-01,23201.93,23235.756182265573,0.14579038151383594,31,2678400,8662.608273596177,8675.2375232473,1.220628890398064,1.2224084499142434,0.0017795595161793631
2026-06-01,22716.07,22939.915743614492,0.9854069987215777,30,2592000,8763.915895061727,8850.27613565374,1.2349039223137144,1.247072751991681,0.01216882967796673
