Rank,month,iss_mean_z,iss_max_z,sarima_resid_z,rho_peak_baseline,iss_mean_norm,sarima_norm,rho_norm,MeanPopulation_SD,SD,CV,CVPenalty,AMPI_final
1,2025-12-01,0.1011103658437106,0.911510957788064,0.2982621833189162,0.9216725172688252,82.38877828079916,107.82623313780641,130.0,106.73833713953519,19.452416245392524,0.1822439506431797,3.545085186115902,103.19325195341929
2,2025-07-01,0.029792991681721,0.8753098256539751,0.636877323413033,0.8293666823928272,81.17122837777427,114.17228747261146,116.2162824108189,103.8532660870682,16.060315580362023,0.15464429945705724,2.4836362519843465,101.36962983508386
3,2025-03-01,-0.0592082763793073,1.9300337698545271,0.9545665047560442,0.779674420341081,79.65177415543201,120.12616421250596,108.79590527638324,102.8579478814404,17.048725585629736,0.16575020148448824,2.8258297008718785,100.03211818056852
4,2025-11-01,-0.6245561007763563,-0.1981545560408834,0.6620096115615356,0.9009912366003452,70.0,114.64329673139429,126.91173442610784,103.8516770525007,24.455138114751666,0.23548139817124691,5.758730115732674,98.09294693676803
5,2025-01-01,0.4282089934989644,1.6357685314013708,0.1316468416004038,0.7240575476076572,87.97309636683288,104.70366156211165,100.49082610147747,97.72252801014066,7.105188652444662,0.07270778598469492,0.5166025359228295,97.20592547421784
6,2024-12-01,0.439062644990876,2.2985928500742485,-0.0023915247684899,0.7127259362233219,88.15839290188796,102.19162162293739,98.79871496503792,96.38290982995443,5.978292003704929,0.06202647351332572,0.37081237062273076,96.0120974593317
7,2025-08-01,-0.4134716406188987,0.5401291435880188,0.1416791792526129,0.8523869069412664,73.60369218601649,104.89167961655639,119.65381454994619,99.38306211750637,19.19916825449052,0.19318350476855128,3.708962612043588,95.67409950546278
8,2024-04-01,2.889913769483956,3.3793716702571435,-0.6867005322018014,0.5856642456199511,130.0,89.3668491046109,79.82502319318465,99.73062409926519,21.75527443320325,0.2181403618967581,4.745703438022246,94.98492066124294
9,2024-02-01,1.3344905117792942,2.376911716139325,0.5564382506839728,0.5511518254819546,103.44538467892251,112.66476265833981,74.67140042231247,96.92718258652492,16.18104060080808,0.16694017270504682,2.701265712446275,94.22591687407865
10,2024-10-01,-0.5942325865919735,-0.543342220692059,1.481418326700193,0.7065469937247921,70.51769140673504,130.0,97.87603441603538,99.4645752742568,24.30951604399369,0.24440375859409538,5.941337090755522,93.52323818350128
11,2025-05-01,-0.2043794769240484,1.9809643422695224,-0.245585052919397,0.7956905085396629,77.1733713367334,97.63388287832711,111.18753346445213,95.33159589317087,13.981325648502212,0.14665993490940574,2.050500309556539,93.28109558361433
12,2025-04-01,-0.1414303897069478,1.194370673721636,-0.2848519773139808,0.7876987524690672,78.24805553448022,96.89797356340561,109.99415160655877,95.04672690148153,13.02622968237226,0.1370507970871453,1.7852551610093494,93.26147174047219
13,2024-03-01,0.628052679658225,1.8239019093496849,0.6064077923524827,0.5725661002498771,91.38488295547918,113.60125187268955,77.86912152168495,94.28508544995123,14.731025439233173,0.1562391906305558,2.3015634917839187,91.9835219581673
14,2024-08-01,0.5818138011416363,0.8411450349370712,-0.4347188607345638,0.6374505346982087,90.59548005449776,94.08928820778162,87.55809428891021,90.74762085039652,2.668518142816128,0.029405929519798184,0.07847025642995381,90.66915059396656
15,2025-06-01,-0.3065915067866392,0.8753098256539751,-0.6288049780265826,0.8097795965587358,75.42837934131157,90.45188131090111,113.2914092444058,93.05722329887283,15.566911779291534,0.1672832180828685,2.6040830980520004,90.45314020082083
16,2024-05-01,0.3973657815375411,1.7384978858078035,-0.1704007900962176,0.5979498640276217,87.44653253615525,99.0429262449809,81.65959296623602,89.38301724912405,7.227611350584704,0.08086112522292968,0.5844327864822976,88.79858446264176
17,2025-09-01,-0.4727911024116807,0.6548844032241821,-1.1338855055615853,0.8642969492522256,72.59097395568398,80.98606572362931,121.43230081693024,91.66978016541451,21.322525149037126,0.2326014648509189,4.959650583986593,86.71012958142792
18,2024-09-01,-0.4333032220211545,-0.0128806632016219,-0.2584803130144824,0.6621633935799635,73.26512195264948,97.39221021950237,91.24838177837387,87.30190465017525,10.237516246683853,0.1172656689187514,1.2005091907339673,86.10139545944128
19,2024-07-01,-0.2602464127610347,0.8155063820550502,-0.4209803464312393,0.6149781672962883,76.21959558278992,94.34676446304935,84.20237180132851,84.92291061572259,7.417903793779293,0.08734867587552923,0.647944074158686,84.2749665415639
20,2024-06-01,-0.3416979495442624,0.2774163784572369,-0.3005317732902231,0.6112474560960589,74.82903245736705,96.60411535849417,83.6452773374754,85.02614171777888,8.943103438416772,0.10518063336451239,0.9406412838970246,84.08550043388186
21,2024-01-01,0.1659127198607815,1.3301431532875054,0.053174053518445,0.5198687182047066,83.49510196105774,103.23298728324349,70.0,85.57602974810042,13.646869147249381,0.1594706974303433,2.1762757406524935,83.39975400744792
22,2024-11-01,0.2895596289046422,1.151723454807862,-1.6288651999146513,0.6815448270761624,85.606036132214,71.70955187927883,94.14254557792114,83.81937786313799,9.244959433791461,0.11029620678987646,1.0196839574734822,82.79969390566451
23,2025-10-01,-0.5004043176615381,0.2134865455444472,-1.6121008795729754,0.8818932318440987,72.11955352069566,72.02373537309657,124.05989408003902,89.40106099127708,24.50752712379534,0.2741301596654044,6.718252323450245,82.68280866782683
24,2025-02-01,-0.4593856349213235,0.3224825673462013,-1.7200841083197185,0.7596662689830215,72.81983579804255,70.0,105.80815582184908,82.87599720663054,16.256297088556934,0.19615205411074485,3.1887060661549635,79.68729114047558
