Scenario,ISS_weight,SARIMA_weight,Rho_weight,Mean_AMPI,Min_AMPI,Max_AMPI,Highest_month,Lowest_month
Equal (Baseline),0.3333333333333333,0.3333333333333333,0.3333333333333333,91.35427705587864,79.68729114047558,103.19325195341928,2025-12-01,2025-02-01
ISS Emphasis,0.5,0.25,0.25,88.46652089748416,77.17325078832857,102.55226463642663,2024-04-01,2025-02-01
SARIMA Emphasis,0.25,0.5,0.25,92.63805422064767,76.46829183881795,104.3491722633349,2025-03-01,2025-02-01
Rho Emphasis,0.25,0.25,0.5,92.95825604950409,79.5057465704228,109.0086676685355,2025-12-01,2024-01-01
ISS + SARIMA,0.4,0.4,0.2,90.0710938609783,75.10085941743188,98.96604084245904,2024-04-01,2025-02-01
ISS + Rho,0.4,0.2,0.4,90.32725532406342,79.8683625004193,102.97567275376505,2025-12-01,2024-01-01
SARIMA + Rho,0.2,0.4,0.4,93.66448198259422,81.69852342219318,108.06316372516649,2025-12-01,2025-02-01
