month,sarima_resid_z
2022-02-01,-0.9421944543974711
2022-03-01,0.8783255997563144
2022-04-01,1.0980412664391825
2022-05-01,1.9085783421724554
2022-06-01,-0.4527789894218069
2022-07-01,-0.44976394824291976
2022-08-01,-0.46038166336385444
2022-09-01,-0.08323880400727841
2022-10-01,-0.34093085625719727
2022-11-01,-0.2500724581306771
2022-12-01,0.19832806235170747
2023-01-01,0.31581787731636435
2023-02-01,-1.4418585978825724
2023-03-01,0.180490529979424
2023-04-01,0.0002983563089781042
2023-05-01,0.5864910502981443
2023-06-01,0.002742483463824243
2023-07-01,0.48568390780520476
2023-08-01,1.1405825563223717
2023-09-01,-0.3644407218048536
2023-10-01,0.7124374576240808
2023-11-01,-0.41983920398694335
2023-12-01,0.5442271166204707
2024-01-01,0.04145025748105036
2024-02-01,1.006267381601004
2024-03-01,1.0471073628417895
2024-04-01,-0.710446205921452
2024-05-01,0.15055472902564027
2024-06-01,-0.36161444704257395
2024-07-01,-0.5524366586933399
2024-08-01,-0.6468529368642715
2024-09-01,-0.22726111947858535
2024-10-01,2.1191485423632934
2024-11-01,-2.311901489657578
2024-12-01,0.32807623476338577
2025-01-01,0.24357878798553773
2025-02-01,-2.5620891570494235
2025-03-01,1.4973640420672596
2025-04-01,-0.48108022743279516
2025-05-01,-0.17235642516349933
2025-06-01,-0.7404147345437647
2025-07-01,1.165374008432486
2025-08-01,0.40158965827090676
2025-09-01,-1.47028706474651
2025-10-01,-2.2136865714491476
2025-11-01,1.2565454493390917
2025-12-01,0.34682567490854627
