month,iss_mean_z,iss_max_z,max_bank,max_bank_td_pct,max_bank_z_score,stress_flag
2025-01,1.0474476218066118,2.130233446806837,Bank of Baroda,0.27999999999999997,2.130233446806837,False
2025-02,-0.38950757975430367,0.25125945381480297,HDFC Bank Ltd.,0.06,0.25125945381480297,False
2025-03,-0.07146431562137416,1.7337325273149182,State Bank of India,0.8999999999999999,1.7337325273149182,False
2025-05,-0.09817987037325968,1.9095718489925033,HDFC Bank Ltd.,0.12,1.9095718489925033,False
2025-06,-0.3945617745955595,0.8040302522073698,HDFC Bank Ltd.,0.08,0.8040302522073698,False
2025-07,0.3933805434608069,1.4129099392086166,Bank of Baroda,0.22,1.4129099392086166,False
2025-08,-0.14789387731761602,1.8040713896983291,Union Bank of India,0.75,1.8040713896983291,False
2025-09,-0.356295145427589,0.5474944823099743,State Bank of India,0.64,0.5474944823099743,False
2025-11,-0.4337657960101776,0.19264066659531903,Punjab National Bank,0.28,0.19264066659531903,False
2025-12,0.547055663410321,1.8407885919108256,Punjab National Bank,0.56,1.8407885919108256,False
2026-01,-0.09621546957786015,1.723063740102575,Punjab National Bank,0.54,1.723063740102575,False
