month,iss_mean_z,iss_max_z,AMPI_final,AMPI_max,AMPI_difference
2025-01-01,1.0474476218066118,2.130233446806837,109.90923736779008,109.90923736779008,0.0
2025-02-01,-0.3895075797543036,0.2512594538148029,74.50308648766477,74.51004655792615,0.006960070261371243
2025-03-01,-0.0714643156213741,1.7337325273149182,104.85148421358575,114.48517043787602,9.633686224290273
2025-05-01,-0.0981798703732596,1.9095718489925035,93.49445311919023,107.59006123162385,14.095608112433624
2025-06-01,-0.3945617745955595,0.8040302522073698,88.7943201427068,93.24625159161077,4.451931448903977
2025-07-01,0.3933805434608069,1.4129099392086166,110.27754142104259,111.57781211172822,1.300270690685636
2025-08-01,-0.147893877317616,1.8040713896983287,102.60942181724572,113.73217984803942,11.122758030793705
2025-09-01,-0.356295145427589,0.5474944823099743,92.74925072428546,94.49049824984242,1.7412475255569575
2025-11-01,-0.4337657960101776,0.192640666595319,111.75363346867756,111.75363346867756,0.0
2025-12-01,0.547055663410321,1.8407885919108256,118.95408148691274,122.40527067073016,3.4511891838174193
