month,iss_mean_z,iss_max_z,max_bank,stress_flag
2024-01,0.1659127198607815,1.3301431532875054,Union Bank of India,False
2024-02,1.3344905117792942,2.376911716139325,Union Bank of India,False
2024-03,0.628052679658225,1.8239019093496849,Union Bank of India,False
2024-04,2.889913769483956,3.3793716702571435,Bank of Baroda,True
2024-05,0.3973657815375411,1.7384978858078035,Bank of Baroda,False
2024-06,-0.3416979495442624,0.2774163784572369,Punjab National Bank,False
2024-07,-0.2602464127610347,0.8155063820550502,Bank of Baroda,False
2024-08,0.5818138011416363,0.8411450349370712,Bank of Baroda,False
2024-09,-0.4333032220211545,-0.0128806632016219,Union Bank of India,False
2024-10,-0.5942325865919735,-0.543342220692059,Bank of Baroda,False
2024-11,0.2895596289046422,1.151723454807862,HDFC Bank Ltd.,False
2024-12,0.439062644990876,2.2985928500742485,Punjab National Bank,False
2025-01,0.4282089934989644,1.6357685314013708,State Bank of India,False
2025-02,-0.4593856349213235,0.3224825673462013,HDFC Bank Ltd.,False
2025-03,-0.0592082763793073,1.9300337698545271,State Bank of India,False
2025-04,-0.1414303897069478,1.194370673721636,State Bank of India,False
2025-05,-0.2043794769240484,1.9809643422695224,HDFC Bank Ltd.,False
2025-06,-0.3065915067866392,0.8753098256539751,HDFC Bank Ltd.,False
2025-07,0.029792991681721,0.8753098256539751,HDFC Bank Ltd.,False
2025-08,-0.4134716406188987,0.5401291435880188,Union Bank of India,False
2025-09,-0.4727911024116807,0.6548844032241821,State Bank of India,False
2025-10,-0.5004043176615381,0.2134865455444472,State Bank of India,False
2025-11,-0.6245561007763563,-0.1981545560408834,Punjab National Bank,False
2025-12,0.1011103658437106,0.911510957788064,Punjab National Bank,False
2026-01,-0.2349772664352571,0.8322491353717106,Punjab National Bank,False
