month,lambda_avg_tps,rho,rho_sensitivity_low,rho_sensitivity_high,is_confirmed_outage_month,is_disruption_response_window
2021-01-01,859.740890083632,0.0981000845259226,0.1037834199711763,0.0691889466474508,False,False
2021-02-01,947.7926587301588,0.1081471650434503,0.114412568578681,0.0762750457191207,False,False
2021-03-01,1019.8924731182796,0.1163740598757875,0.1231160807679853,0.0820773871786568,False,False
2021-04-01,1018.9274691358024,0.1162639488256551,0.1229995905384958,0.0819997270256639,False,False
2021-05-01,948.166816009558,0.1081898579770521,0.1144577348869386,0.0763051565912924,False,False
2021-06-01,1083.1442901234568,0.1235913606534933,0.1307515090277133,0.0871676726851422,False,False
2021-07-01,1212.5970728793309,0.1383624725977348,0.1463783713465259,0.0975855808976839,False,False
2021-08-01,1327.490292712067,0.1514722766178163,0.1602476794407142,0.1068317862938094,False,False
2021-09-01,1409.837962962963,0.1608684952987026,0.1701882591477761,0.1134588394318507,False,False
2021-10-01,1575.0634707287932,0.179721426995472,0.1901334175788749,0.1267556117192499,False,False
2021-11-01,1615.154320987654,0.1842959631661638,0.194972975168153,0.1299819834454353,False,False
2021-12-01,1704.861111111111,0.1945318886585575,0.2058019093052082,0.1372012728701388,False,False
2022-01-01,1723.8463261648749,0.1966981822744584,0.2080937050891405,0.1387291367260937,False,False
2022-02-01,1871.4823082010585,0.2135440744308828,0.2259155480458339,0.1506103653638893,False,False
2022-03-01,2018.2385005973715,0.2302895788553384,0.2436311874024262,0.1624207916016175,False,False
2022-04-01,2153.954475308642,0.2457753475843313,0.2600141094696635,0.1733427396464423,False,False
2022-05-01,2223.416965352449,0.2537013125154813,0.2683992576690923,0.1789328384460615,False,False
2022-06-01,2261.863425925926,0.2580882168438467,0.2730403131430436,0.1820268754286957,False,False
2022-07-01,2347.819593787336,0.2678961804175095,0.2834164917931086,0.1889443278620724,False,False
2022-08-01,2456.5524193548385,0.2803030573055877,0.2965421493379382,0.1976947662252921,False,False
2022-09-01,2616.0493827160494,0.2985023377723347,0.3157957878743508,0.2105305252495672,False,False
2022-10-01,2727.5313620071684,0.311222904768412,0.3292533088663589,0.2195022059109059,False,False
2022-11-01,2820.0038580246915,0.3217744090417049,0.3404161045419676,0.226944069694645,False,False
2022-12-01,2923.1966845878137,0.3335491485301645,0.3528730024058943,0.2352486682705962,False,False
2023-01-01,3000.630973715651,0.3423847295712228,0.3622204644626799,0.2414803096417866,False,False
2023-02-01,3114.566798941799,0.355385290803257,0.3759742008914051,0.2506494672609367,False,False
2023-03-01,3242.7195340501794,0.3700080617931739,0.3914441282632603,0.2609627521755068,False,False
2023-04-01,3419.4675925925926,0.3901757654382999,0.4127802287097715,0.2751868191398476,False,False
2023-05-01,3515.2292413381124,0.4011025759978899,0.424340073685764,0.282893382457176,False,False
2023-06-01,3601.489197530864,0.4109452031095167,0.4347529240730205,0.289835282715347,False,False
2023-07-01,3720.359169653525,0.4245087714442656,0.4491022848874957,0.2994015232583304,False,False
2023-08-01,3952.367084826762,0.4509818592683932,0.4771090659709438,0.3180727106472958,False,False
2023-09-01,4072.411265432099,0.4646794097746662,0.4916001710870998,0.3277334473913998,False,False
2023-10-01,4259.554211469535,0.4860332142016219,0.5141910879403824,0.3427940586269216,False,False
2023-11-01,4334.60262345679,0.494596556534647,0.5232505393975364,0.3488336929316909,False,False
2023-12-01,4487.839755077658,0.512081563631442,0.5417485238130967,0.3611656825420645,False,False
2024-01-01,4556.085722819594,0.5198687182047066,0.5499868198080815,0.3666578798720543,False,False
2024-02-01,4830.248243933589,0.5511518254819546,0.5830822842640787,0.3887215228427191,False,False
2024-03-01,5017.921146953405,0.5725661002498771,0.6057371747502353,0.4038247831668234,False,False
2024-04-01,5132.712191358025,0.5856642456199511,0.6195941487615746,0.4130627658410497,False,False
2024-05-01,5240.382317801673,0.5979498640276217,0.6325915228308291,0.4217276818872194,False,False
2024-06-01,5356.9212962962965,0.6112474560960589,0.6466594982960217,0.4311063321973478,False,False
2024-07-01,5389.616935483871,0.6149781672962883,0.6506063447147142,0.4337375631431428,False,False
2024-08-01,5586.562873357228,0.6374505346982087,0.6743806274290557,0.4495870849527038,False,False
2024-09-01,5803.144290123457,0.6621633935799635,0.7005252023742061,0.467016801582804,False,False
2024-10-01,6192.118428912784,0.7065469937247921,0.747480124339093,0.4983200828927286,False,False
2024-11-01,5973.001543209876,0.6815448270761624,0.7210294808557186,0.480686320570479,False,False
2024-12-01,6246.270161290322,0.7127259362233219,0.7540170380166058,0.5026780253444039,False,False
2025-01-01,6345.57945041816,0.7240575476076572,0.7660051355695684,0.5106700903797122,False,False
2025-02-01,6657.65128968254,0.7596662689830215,0.803676814477852,0.5357845429852346,False,False
2025-03-01,6833.001045400239,0.779674420341081,0.8248441191267245,0.5498960794178164,True,True
2025-04-01,6903.325617283951,0.7876987524690672,0.8333333333333334,0.5555555555555556,True,True
2025-05-01,6973.364695340501,0.7956905085396629,0.8417880842195333,0.5611920561463556,False,True
2025-06-01,7096.840277777777,0.8097795965587358,0.8566934102033037,0.5711289401355358,False,False
2025-07-01,7268.499850657109,0.8293666823928272,0.8774152552960449,0.5849435035306966,False,False
2025-08-01,7470.247162485066,0.8523869069412664,0.9017691347415834,0.6011794231610555,False,False
2025-09-01,7574.625771604939,0.8642969492522256,0.914369174068829,0.6095794493792194,False,False
2025-10-01,7728.838112305854,0.8818932318440987,0.9329848806198392,0.6219899204132262,False,False
2025-11-01,7896.211419753086,0.9009912366003452,0.9531893101859044,0.6354595401239364,False,False
2025-12-01,8077.460424133811,0.9216725172688252,0.9750687412539936,0.6500458275026623,False,False
2026-01-01,8103.136200716845,0.9246022323517256,0.9781681866042592,0.6521121244028395,False,False
2026-02-01,8430.13392857143,0.9619140609646452,1.0176416406541784,0.6784277604361189,False,False
2026-03-01,8453.22207287933,0.9645485162223584,1.020428720581049,0.6802858137206994,False,False
2026-04-01,8621.45061728395,0.983744107145294,1.040736389875906,0.6938242599172706,False,False
2026-05-01,8662.608273596177,0.9884403704144816,1.045704726707792,0.6971364844718615,False,False
2026-06-01,8763.915895061727,1.0,1.0579340524803715,0.7052893683202477,False,False
